GeneID,GSM3528727,GSM3528728,GSM3528729,GSM3528730,GSM3528731,GSM3528732,GSM3528733,GSM3528734,GSM3528735,GSM3528736,GSM3528737,GSM3528738,GSM3528739,GSM3528740,GSM3528741,GSM3528742,GSM3528743,GSM3528744,GSM3528745,GSM3528746,GSM3528747,GSM3528748
ENSG00000128573,4466,8738,5197,5142,889,1835,485,994,734,3255,1086,700,1651,4950,1990,135,593,669,200,2021,201,895
ENSG00000128578,1085,668,752,932,596,235,108,213,265,202,104,214,296,563,726,160,254,485,427,450,275,230
ENSG00000128581,1893,1087,1361,2053,1455,658,906,303,356,1027,515,936,884,2310,1658,929,1330,1467,1036,2081,1033,945
ENSG00000128585,10829,8819,9453,10390,8470,4862,2034,2595,2329,4072,1394,3615,4917,14904,11786,5663,6317,9537,6076,6573,7401,7573
ENSG00000128590,3661,2524,2638,2556,2303,2228,839,923,964,1249,871,1846,2031,4656,4071,2333,2387,3496,2298,1894,1319,1896
ENSG00000128591,568,390,411,1587,759,324,1226,83,358,482,346,5935,678,2718,1168,1416,220,2970,5818,3464,1127,540
ENSG00000128594,3306,2005,3387,3701,2539,937,646,709,572,760,565,356,1267,1854,1953,1257,508,1119,724,1610,940,790
ENSG00000128595,16494,7693,14286,19635,11553,9695,10681,3873,3405,21422,5321,12500,12150,28908,16069,5970,8602,20377,12659,15145,7172,13534
ENSG00000128596,3129,3263,2451,3139,2724,867,518,673,697,528,454,992,1081,5993,3196,2407,2466,2996,2783,2497,1301,736
ENSG00000128602,1239,461,1207,1455,1487,246,289,239,166,596,190,351,385,1083,605,275,591,693,444,764,342,519
ENSG00000128604,72,50,55,72,58,22,14,12,14,13,7,23,20,47,39,61,20,31,10,37,47,20
ENSG00000128606,457,306,561,914,2327,665,713,121,67,1880,423,711,522,1243,1059,166,474,1103,357,1063,477,803
ENSG00000128607,8356,7320,6917,6819,6124,3086,2657,1643,1879,2121,1488,2060,3173,5695,6433,3803,3150,3592,2609,4078,3605,3376
ENSG00000128609,19868,10695,14147,13344,10288,7240,3163,3747,3788,5246,5918,3024,7270,9673,12089,7394,4573,7663,4038,4731,3619,3890
