Gene_ID,metafc,metap,Gene_Symbol,Gene_Description
ENSG00000147655,-0.094558021976177,0.0149160870111655,RSPO2,R-spondin 2
ENSG00000147669,-0.00499965643482909,0.999628825435137,POLR2K,"RNA polymerase II, I and III subunit K"
ENSG00000147676,-0.449315821156545,0.785997366501543,MAL2,"mal, T cell differentiation protein 2"
ENSG00000147677,0.119322070066366,0.799022597511548,EIF3H,eukaryotic translation initiation factor 3 subunit H
ENSG00000147679,0.062264922598762,0.720199009461442,UTP23,UTP23 small subunit processome component
ENSG00000147684,-0.010838112787486,0.945779937419511,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9
ENSG00000147687,0.0781409384061278,0.896537078608848,TATDN1,TatD DNase domain containing 1
ENSG00000147689,0.0813523561738175,0.970312509642197,FAM83A,family with sequence similarity 83 member A
ENSG00000147697,-0.19526537104496,0.532709260043827,GSDMC,gasdermin C
ENSG00000147724,-0.501547268312367,0.694621035167782,FAM135B,family with sequence similarity 135 member B
ENSG00000147789,0.00631177613952095,0.823788082469351,ZNF7,zinc finger protein 7
ENSG00000147799,-0.0734333891572391,0.494664880948582,ARHGAP39,Rho GTPase activating protein 39
ENSG00000147804,0.0259011336914175,0.999188394295027,SLC39A4,solute carrier family 39 member 4
ENSG00000147813,0.056059279708944,0.0221973328384274,NAPRT,nicotinate phosphoribosyltransferase
ENSG00000147852,-0.0123619792544235,0.681360230956941,VLDLR,very low density lipoprotein receptor
ENSG00000147853,-0.0387548951718227,0.954668584516005,AK3,adenylate kinase 3
ENSG00000147854,-0.0867102309477367,0.605458621966736,UHRF2,ubiquitin like with PHD and ring finger domains 2
ENSG00000147862,0.273913153408907,0.767950469189752,NFIB,nuclear factor I B
ENSG00000147869,-0.262145522197137,0.959887362134489,CER1,"cerberus 1, DAN family BMP antagonist"
ENSG00000147872,-0.507052261167611,0.302924850393456,PLIN2,perilipin 2
ENSG00000147874,0.0915387735294122,0.897795129724914,HAUS6,HAUS augmin like complex subunit 6
